CustomerLoyaltyID,Gender,Age,AffluenceGrade,LoyaltyCardTenure,OrganicsPurchaseCount,OrganicsPurchaseIndicator,TotalSpend
4529,M,62.0,10.0,3.0,0,0,2038.76
7420,F,60.0,7.0,2.0,0,0,11000.0
10006,F,51.0,9.0,11.0,0,0,300.0
11932,F,70.0,5.0,8.0,0,0,6104.66
19496,F,66.0,9.0,12.0,0,0,500.0
19763,F,74.0,9.0,2.0,0,0,6000.0
20761,M,66.0,7.0,5.0,0,0,1000.0
24880,M,75.0,7.0,7.0,0,0,4000.0
29173,F,62.0,7.0,4.0,0,0,20000.0
29440,M,37.0,8.0,9.0,1,1,1000.0
41092,F,50.0,3.0,3.0,0,0,9800.0
42439,F,35.0,15.0,5.0,1,1,1630.0
45799,F,71.0,10.0,5.0,0,0,1500.0
51950,F,68.0,9.0,5.0,1,1,6053.25
56073,F,70.0,8.0,15.0,0,0,19053.82
57002,F,72.0,7.0,3.0,0,0,20526.96
59862,F,58.0,8.0,7.0,0,0,10053.35
63983,M,71.0,8.0,6.0,0,0,1000.0
71986,F,62.0,8.0,5.0,1,1,1000.0
73148,F,39.0,8.0,4.0,1,1,2241.36
75205,M,76.0,6.0,19.0,0,0,12000.0
75469,F,61.0,7.0,11.0,1,1,6000.0
80608,M,60.0,8.0,11.0,1,1,60.0
84573,F,57.0,10.0,11.0,0,0,50.0
89796,F,75.0,11.0,8.0,1,1,3052.66
95036,F,61.0,12.0,9.0,0,0,1020.0
102385,M,57.0,8.0,9.0,0,0,9000.0
109819,F,50.0,9.0,4.0,0,0,20000.0
118397,F,78.0,7.0,24.0,0,0,2000.0
124710,F,66.0,11.0,5.0,0,0,2000.0
129283,M,48.0,9.0,2.0,0,0,3000.0
148415,M,67.0,10.0,4.0,0,0,6000.0
158216,M,65.0,14.0,6.0,0,0,6053.35
162485,F,34.0,16.0,3.0,2,1,3000.0
165808,F,40.0,6.0,7.0,1,1,1500.0
170127,M,50.0,7.0,10.0,0,0,5000.0
192791,M,60.0,9.0,5.0,0,0,8100.0
197440,F,49.0,8.0,4.0,0,0,7600.0
202878,M,57.0,6.0,8.0,0,0,2000.0
206032,M,75.0,6.0,17.0,0,0,10000.0
215554,F,52.0,8.0,6.0,1,1,2500.0
217158,F,74.0,12.0,5.0,0,0,6000.0
223182,F,79.0,9.0,5.0,0,0,5000.0
243051,F,38.0,3.0,9.0,1,1,50.0
248258,F,58.0,9.0,5.0,0,0,5000.0
249335,M,52.0,4.0,4.0,0,0,1800.0
252646,F,45.0,3.0,9.0,0,0,100.01
253839,F,42.0,9.0,4.0,0,0,2000.0
275700,F,36.0,10.0,9.0,1,1,1000.0
278661,F,72.0,10.0,8.0,0,0,11105.32
285846,F,76.0,9.0,8.0,1,1,2000.0
301981,F,51.0,8.0,8.0,0,0,9000.01
310786,F,50.0,9.0,2.0,0,0,12000.0
312762,F,41.0,8.0,7.0,1,1,1675.0
315559,M,60.0,8.0,8.0,0,0,100.01
315788,F,70.0,10.0,8.0,0,0,2250.0
317950,F,74.0,9.0,5.0,0,0,3000.0
331341,M,53.0,9.0,4.0,0,0,6000.0
342033,F,51.0,7.0,10.0,0,0,3026.67
343102,F,62.0,5.0,7.0,0,0,56053.35
345865,M,39.0,10.0,2.0,1,1,7500.0
346225,M,53.0,6.0,6.0,1,1,3000.0
347086,F,48.0,7.0,4.0,0,0,5000.0
347531,F,62.0,7.0,11.0,0,0,12808.95
351482,F,43.0,6.0,2.0,0,0,6000.0
356425,F,78.0,7.0,5.0,0,0,6000.0
356719,F,67.0,3.0,3.0,0,0,12049.25
359955,F,68.0,13.0,6.0,0,0,7500.0
369225,M,51.0,5.0,8.0,0,0,420.0
374644,F,63.0,8.0,2.0,0,0,6000.0
375330,F,69.0,8.0,9.0,0,0,500.0
380113,F,46.0,4.0,11.0,0,0,2165.75
396192,F,46.0,8.0,11.0,1,1,2245.0
397660,M,67.0,4.0,5.0,0,0,11000.0
403768,F,53.0,5.0,8.0,0,0,9000.0
407364,F,55.0,6.0,4.0,1,1,5000.0
408964,F,54.0,9.0,8.0,0,0,3000.0
421979,F,58.0,5.0,4.0,0,0,420.0
435961,M,71.0,4.0,12.0,0,0,6000.0
454702,M,53.0,13.0,5.0,0,0,6871.12
462705,F,58.0,9.0,19.0,0,0,1500.0
479403,M,74.0,4.0,2.0,0,0,6000.0
486701,F,58.0,9.0,9.0,0,0,3000.0
502316,F,68.0,3.0,4.0,1,1,50000.0
503053,F,45.0,8.0,4.0,0,0,1000.0
518069,F,71.0,7.0,6.0,0,0,12000.0
523259,F,65.0,10.0,8.0,0,0,9053.35
