Gender,Age,AffluenceGrade,LoyaltyCardTenure,OrganicsPurchaseCount,OrganicsPurchaseIndicator,TotalSpend
M,62.0,10.0,3.0,0,0,2038.76
F,60.0,7.0,2.0,0,0,11000.0
F,51.0,9.0,11.0,0,0,300.0
F,70.0,5.0,8.0,0,0,6104.66
F,66.0,9.0,12.0,0,0,500.0
F,74.0,9.0,2.0,0,0,6000.0
M,66.0,7.0,5.0,0,0,1000.0
M,75.0,7.0,7.0,0,0,4000.0
F,62.0,7.0,4.0,0,0,20000.0
M,37.0,8.0,9.0,1,1,1000.0
F,50.0,3.0,3.0,0,0,9800.0
F,35.0,15.0,5.0,1,1,1630.0
F,71.0,10.0,5.0,0,0,1500.0
F,68.0,9.0,5.0,1,1,6053.25
F,70.0,8.0,15.0,0,0,19053.82
F,72.0,7.0,3.0,0,0,20526.96
F,58.0,8.0,7.0,0,0,10053.35
M,71.0,8.0,6.0,0,0,1000.0
F,62.0,8.0,5.0,1,1,1000.0
F,39.0,8.0,4.0,1,1,2241.36
M,76.0,6.0,19.0,0,0,12000.0
F,61.0,7.0,11.0,1,1,6000.0
M,60.0,8.0,11.0,1,1,60.0
F,57.0,10.0,11.0,0,0,50.0
F,75.0,11.0,8.0,1,1,3052.66
F,61.0,12.0,9.0,0,0,1020.0
M,57.0,8.0,9.0,0,0,9000.0
F,50.0,9.0,4.0,0,0,20000.0
F,78.0,7.0,24.0,0,0,2000.0
F,66.0,11.0,5.0,0,0,2000.0
M,48.0,9.0,2.0,0,0,3000.0
M,67.0,10.0,4.0,0,0,6000.0
M,65.0,14.0,6.0,0,0,6053.35
F,34.0,16.0,3.0,2,1,3000.0
F,40.0,6.0,7.0,1,1,1500.0
M,50.0,7.0,10.0,0,0,5000.0
M,60.0,9.0,5.0,0,0,8100.0
F,49.0,8.0,4.0,0,0,7600.0
M,57.0,6.0,8.0,0,0,2000.0
M,75.0,6.0,17.0,0,0,10000.0
F,52.0,8.0,6.0,1,1,2500.0
F,74.0,12.0,5.0,0,0,6000.0
F,79.0,9.0,5.0,0,0,5000.0
F,38.0,3.0,9.0,1,1,50.0
F,58.0,9.0,5.0,0,0,5000.0
M,52.0,4.0,4.0,0,0,1800.0
F,45.0,3.0,9.0,0,0,100.01
F,42.0,9.0,4.0,0,0,2000.0
F,36.0,10.0,9.0,1,1,1000.0
F,72.0,10.0,8.0,0,0,11105.32
F,76.0,9.0,8.0,1,1,2000.0
F,51.0,8.0,8.0,0,0,9000.01
F,50.0,9.0,2.0,0,0,12000.0
F,41.0,8.0,7.0,1,1,1675.0
M,60.0,8.0,8.0,0,0,100.01
F,70.0,10.0,8.0,0,0,2250.0
F,74.0,9.0,5.0,0,0,3000.0
M,53.0,9.0,4.0,0,0,6000.0
F,51.0,7.0,10.0,0,0,3026.67
F,62.0,5.0,7.0,0,0,56053.35
M,39.0,10.0,2.0,1,1,7500.0
M,53.0,6.0,6.0,1,1,3000.0
F,48.0,7.0,4.0,0,0,5000.0
F,62.0,7.0,11.0,0,0,12808.95
F,43.0,6.0,2.0,0,0,6000.0
F,78.0,7.0,5.0,0,0,6000.0
F,67.0,3.0,3.0,0,0,12049.25
F,68.0,13.0,6.0,0,0,7500.0
M,51.0,5.0,8.0,0,0,420.0
F,63.0,8.0,2.0,0,0,6000.0
F,69.0,8.0,9.0,0,0,500.0
F,46.0,4.0,11.0,0,0,2165.75
F,46.0,8.0,11.0,1,1,2245.0
M,67.0,4.0,5.0,0,0,11000.0
F,53.0,5.0,8.0,0,0,9000.0
F,55.0,6.0,4.0,1,1,5000.0
F,54.0,9.0,8.0,0,0,3000.0
F,58.0,5.0,4.0,0,0,420.0
M,71.0,4.0,12.0,0,0,6000.0
M,53.0,13.0,5.0,0,0,6871.12
F,58.0,9.0,19.0,0,0,1500.0
M,74.0,4.0,2.0,0,0,6000.0
F,58.0,9.0,9.0,0,0,3000.0
F,68.0,3.0,4.0,1,1,50000.0
F,45.0,8.0,4.0,0,0,1000.0
F,71.0,7.0,6.0,0,0,12000.0
F,65.0,10.0,8.0,0,0,9053.35
F,74.0,10.0,5.0,0,0,19000.0
F,44.0,11.0,9.0,0,0,500.0
M,46.0,7.0,12.0,0,0,17409.76
F,29.0,8.0,12.0,0,0,2000.0
M,64.0,9.0,12.0,0,0,1000.0
M,49.0,10.0,5.0,1,1,3000.0
F,59.0,17.0,8.0,2,1,12000.0
F,51.0,15.0,8.0,1,1,3000.0
F,51.0,18.0,3.0,0,0,3000.0
F,58.0,5.0,11.0,0,0,3050.0
M,68.0,7.0,6.0,0,0,15000.01
F,76.0,12.0,2.0,0,0,6000.0
F,74.0,11.0,4.0,0,0,3350.0
F,60.0,5.0,2.0,0,0,5000.0
F,35.0,10.0,4.0,0,0,1500.0
F,46.0,3.0,5.0,0,0,6000.0
M,37.0,9.0,11.0,1,1,10000.0
F,49.0,12.0,3.0,0,0,3000.0
F,63.0,4.0,7.0,0,0,3026.67
F,64.0,8.0,2.0,0,0,12000.0
F,31.0,12.0,9.0,0,0,1100.0
F,41.0,11.0,5.0,0,0,1000.0
F,70.0,7.0,2.0,0,0,12000.0
M,51.0,10.0,6.0,0,0,1000.0
F,52.0,8.0,2.0,0,0,6000.0
F,43.0,8.0,10.0,0,0,50.0
M,54.0,8.0,8.0,0,0,12000.0
F,54.0,5.0,2.0,0,0,1000.0
M,53.0,9.0,3.0,0,0,6000.0
F,39.0,14.0,10.0,1,1,50.0
F,42.0,9.0,2.0,1,1,6000.0
M,67.0,6.0,8.0,0,0,3000.0
F,78.0,7.0,5.0,0,0,1250.0
M,79.0,5.0,8.0,0,0,6000.0
F,68.0,8.0,8.0,1,1,800.0
F,48.0,9.0,8.0,0,0,600.0
M,35.0,12.0,5.0,0,0,1500.0
M,42.0,11.0,5.0,0,0,6041.13
M,50.0,14.0,4.0,0,0,420.01
F,50.0,8.0,8.0,0,0,50.0
F,66.0,8.0,8.0,0,0,500.0
F,54.0,6.0,11.0,0,0,50.0
M,55.0,8.0,5.0,0,0,1000.0
F,59.0,11.0,2.0,0,0,1500.0
M,63.0,6.0,2.0,1,1,1000.0
F,66.0,7.0,8.0,0,0,9000.0
F,78.0,6.0,5.0,0,0,7500.0
M,55.0,9.0,2.0,0,0,5672.31
M,49.0,7.0,3.0,0,0,10000.0
F,73.0,5.0,32.0,0,0,600.0
F,71.0,8.0,4.0,1,1,23425.0
F,52.0,14.0,5.0,0,0,7017.55
F,57.0,9.0,7.0,0,0,9052.66
M,63.0,10.0,4.0,0,0,6053.34
F,58.0,8.0,9.0,0,0,1930.0
F,61.0,9.0,11.0,0,0,12150.0
F,70.0,13.0,11.0,0,0,500.0
F,70.0,5.0,5.0,0,0,3500.0
F,60.0,6.0,4.0,0,0,10000.0
F,77.0,14.0,11.0,0,0,4884.25
F,74.0,10.0,12.0,0,0,4500.0
F,67.0,7.0,5.0,0,0,3000.0
M,51.0,7.0,11.0,1,1,17000.0
F,37.0,18.0,8.0,3,1,50.01
F,58.0,5.0,22.0,0,0,6000.0
F,27.0,6.0,7.0,0,0,5.0
F,70.0,9.0,8.0,0,0,6000.0
F,58.0,10.0,8.0,0,0,3000.01
F,38.0,7.0,4.0,0,0,4500.0
F,71.0,7.0,3.0,1,1,2000.0
M,50.0,22.0,6.0,2,1,3000.0
F,51.0,6.0,27.0,0,0,3500.0
F,64.0,8.0,4.0,1,1,20000.0
F,50.0,9.0,4.0,0,0,5000.0
F,41.0,5.0,3.0,0,0,6000.0
F,54.0,13.0,30.0,0,0,12078.35
F,45.0,13.0,8.0,0,0,3000.0
M,59.0,10.0,2.0,0,0,780.0
M,66.0,9.0,9.0,0,0,2000.0
M,73.0,8.0,6.0,0,0,6000.0
